# Frequency (Hz)	Amplitude
3.149958164618126943e+00	1.914458458703527910e+01
3.174957832591286611e+00	2.237788803579553232e+01
3.199957500564446278e+00	8.118603725489924372e+00
3.224957168537605945e+00	5.851159042610269978e+00
3.249956836510765612e+00	8.266247765323370800e+00
3.274956504483925279e+00	1.804557681072498143e+00
3.299956172457085390e+00	1.026262306236850108e+01
3.324955840430245058e+00	1.315865484395383156e+01
3.349955508403404725e+00	7.065866538884047365e+00
3.374955176376564392e+00	6.014383979633683097e+00
3.399954844349724059e+00	1.497493495686176068e+00
3.424954512322883726e+00	8.251234153399780169e+00
3.449954180296043837e+00	1.123331526801391433e+01
3.474953848269203505e+00	8.690044385806295679e+00
3.499953516242363172e+00	3.150377950660830706e+00
3.524953184215522839e+00	5.382332153055759960e+00
3.549952852188682506e+00	4.693698035310109873e+00
3.574952520161842173e+00	8.795519617125902911e+00
3.599952188135001840e+00	6.995187394644280410e+00
3.624951856108161952e+00	1.541423232456186287e+00
3.649951524081321619e+00	5.662429023629889091e-01
3.674951192054481286e+00	4.838674865411694448e+00
3.699950860027640953e+00	2.130745835376267827e+00
3.724950528000800620e+00	6.625901366591110175e+00
3.749950195973960287e+00	4.447496989193234995e+00
3.774949863947120399e+00	1.418711890050958102e+00
3.799949531920280066e+00	3.558481082067609602e+00
3.824949199893439733e+00	1.620831231788506965e+00
3.849948867866599400e+00	2.294805428974521888e+00
3.874948535839759067e+00	1.362945554142634297e+00
3.899948203812918734e+00	2.468700257372543394e+00
3.924947871786078846e+00	4.314732537912973953e+00
3.949947539759238513e+00	4.075074314445576995e+00
3.974947207732398180e+00	4.466425222406996909e+00
3.999946875705557847e+00	3.439200359671422458e+00
4.024946543678717958e+00	4.449657247144614303e+00
4.049946211651877626e+00	5.579054553419767082e+00
4.074945879625037293e+00	4.474246871831420336e+00
4.099945547598196960e+00	3.611629612030894609e+00
4.124945215571356627e+00	4.093041989199869057e+00
4.149944883544516294e+00	4.487192469640951309e+00
4.174944551517675961e+00	4.568801495560470549e+00
4.199944219490835629e+00	2.499726347967750062e+00
4.224943887463995296e+00	2.219435881274145483e+00
4.249943555437154963e+00	9.704677302227169289e-01
4.274943223410314630e+00	3.839454048375304573e+00
4.299942891383474297e+00	2.447765756414182370e+00
4.324942559356634852e+00	2.473502529471681033e+00
4.349942227329794520e+00	1.835958689778955044e+00
4.374941895302954187e+00	3.592408956254187657e+00
4.399941563276113854e+00	1.018958941120548634e+00
4.424941231249273521e+00	9.531026127553252625e-01
4.449940899222433188e+00	2.651498753386760221e+00
4.474940567195592855e+00	2.549811930024862061e+00
4.499940235168752523e+00	1.686795257756319000e+00
4.524939903141912190e+00	1.151264458034880533e+00
4.549939571115071857e+00	2.126041836812075037e+00
4.574939239088231524e+00	5.300507451778398993e-01
4.599938907061391191e+00	4.602442121385745266e-01
4.624938575034550858e+00	2.137790220132774088e+00
4.649938243007711414e+00	1.542446684632446274e+00
4.674937910980871081e+00	8.261245270507715510e-01
4.699937578954030748e+00	6.977269706491566748e-01
4.724937246927190415e+00	2.487013090623180656e+00
4.749936914900350082e+00	2.231224362693502883e+00
4.774936582873509749e+00	3.391842976883132632e-01
4.799936250846669417e+00	1.652520072204390678e+00
4.824935918819829084e+00	1.205983314115109728e+00
4.849935586792988751e+00	3.553264380389886234e+00
4.874935254766148418e+00	1.663717410679172781e+00
4.899934922739308085e+00	1.148261317874478715e+00
4.924934590712467752e+00	1.617930469000781191e+00
4.949934258685627420e+00	2.560855601740201215e-01
4.974933926658787975e+00	8.853824352546210141e-01
4.999933594631947642e+00	1.836772142425187715e+00
5.024933262605107309e+00	1.759987823162569409e+00
5.049932930578266976e+00	1.214851964000953632e+00
5.074932598551426643e+00	1.048074480575788892e+00
5.099932266524586311e+00	1.262710738582502490e+00
5.124931934497745978e+00	8.562991696336621494e-01
5.149931602470905645e+00	2.037401800281529951e+00
5.174931270444065312e+00	4.800255180729772753e-01
5.199930938417224979e+00	4.880119170273253260e-01
5.224930606390384646e+00	1.238832197659457179e+00
5.249930274363544314e+00	2.752067051037067280e+00
5.274929942336703981e+00	1.464258330308176204e+00
5.299929610309864536e+00	8.786943115399550308e-01
5.324929278283024203e+00	2.144556773061898625e+00
5.349928946256183870e+00	8.446993876523859468e-01
5.374928614229343538e+00	2.449649639498813869e+00
5.399928282202503205e+00	1.163354731685335208e+00
5.424927950175662872e+00	1.287859122608440154e+00
5.449927618148822539e+00	1.145292179049599346e+00
5.474927286121982206e+00	6.512543791153473371e-01
5.499926954095141873e+00	1.393074339784890592e+00
5.524926622068301540e+00	9.806166395513215006e-01
5.549926290041461208e+00	1.438465434791639908e+00
5.574925958014620875e+00	4.518530101549945166e-01
5.599925625987781430e+00	1.492051818502438509e+00
5.624925293960941097e+00	9.378804619751195393e-01
