x	zg centrado y sin panza
0.036976607	-0.253692325
0.037367894	-0.548039227
0.037759181	-0.789634728
0.038150468	-0.771710628
0.038541755	-0.644461199
0.038933042	-0.563903504
0.039324328	-0.559345031
0.039715615	-0.426352299
0.040106902	-0.3697166
0.040498189	-0.305820911
0.040889476	-0.263320653
0.041280763	-0.219322586
0.04167205	0.037572186
0.042063337	0.080736344
0.042454623	0.0113526
0.04284591	-0.268520134
0.043237197	-0.238003225
0.043628484	-0.051877625
0.044019771	-0.063341662
0.044411058	-0.226902874
0.044802345	-0.438478928
0.045193631	-0.324639934
0.045584918	-0.240200073
0.045976205	-0.054065646
0.046367492	-0.101159796
0.046758779	-0.334343772
0.047150066	-0.514590266
0.047541353	-0.537494589
0.04793264	-0.847354534
0.048323926	-0.89972456
0.048715213	-0.852032113
0.0491065	-0.740783248
0.049497787	-0.753443804
0.049889074	-0.846010631
0.050280361	-0.960621312
0.050671648	-0.932314928
0.051062934	-0.772994876
0.051454221	-0.598562457
0.051845508	-0.529159931
0.052236795	-0.439141602
0.052628082	-0.460618597
0.053019369	-0.395741997
0.053410656	-0.410315989
0.053801943	-0.43783096
0.054193229	-0.393783076
0.054584516	-0.379091502
0.054975803	-0.501592797
0.05536709	-0.91583166
0.055758377	-0.849608871
0.056149664	-0.465129731
0.056540951	-0.168675059
0.056932237	-0.149043781
0.057323524	-0.091705459
0.057714811	-0.235876506
0.058106098	-0.593250694
0.058497385	-1.016882713
0.058888672	-1.011284963
0.059279959	-0.780249587
0.059671246	-0.693858127
0.060062532	-0.706989213
0.060453819	-0.797516777
0.060845106	-0.87349984
0.061236393	-0.746147626
0.06162768	-0.41921692
0.062018967	-0.43755538
0.062410254	-0.399869213
0.06280154	-0.408746012
0.063192827	-0.4497229
0.063584114	-0.795448636
0.063975401	-0.754433742
0.064366688	-0.65154795
0.064757975	-0.490865457
0.065149262	-0.473793558
0.065540549	-0.646087161
0.065931835	-0.798531885
0.066323122	-0.889681931
0.066714409	-1.08754138
0.067105696	-1.070267292
0.067496983	-0.869738245
0.06788827	-0.607395216
0.068279557	-0.573444823
0.068670843	-0.63179253
0.06906213	-0.85805555
0.069453417	-0.986644063
0.069844704	-0.860398489
0.070235991	-0.830443157
0.070627278	-0.823291218
0.071018565	-0.856529228
