X(mm)	Z(mm)
4.675877900000000031e-02	-4.412199274619872935e-01
4.715006599999999742e-02	-4.443693462855723975e-01
4.754135300000000147e-02	-4.475488518326925513e-01
4.793263999999999858e-02	-4.507655786289752053e-01
4.832392600000000316e-02	-4.540268004669159585e-01
4.871521300000000027e-02	-4.573399247832306003e-01
4.910649999999999737e-02	-4.607124859985519127e-01
4.949778700000000142e-02	-4.641521377399233650e-01
4.988907399999999853e-02	-4.676666438773738887e-01
5.028036100000000258e-02	-4.712638683181826771e-01
5.067164799999999969e-02	-4.749517635159278273e-01
5.106293399999999733e-02	-4.787383576657121553e-01
5.145422100000000137e-02	-4.826317405717395759e-01
5.184550799999999848e-02	-4.866400481883066398e-01
5.223679500000000253e-02	-4.907714458499147780e-01
5.262808199999999964e-02	-4.950341102202598931e-01
5.301936899999999675e-02	-4.994362100030609875e-01
5.341065600000000080e-02	-5.039858854698878732e-01
5.380194299999999791e-02	-5.086912268712592278e-01
5.419322900000000248e-02	-5.135602518073197897e-01
5.458451599999999959e-02	-5.186008816433962387e-01
5.497580299999999670e-02	-5.238209170637445622e-01
5.536709000000000075e-02	-5.292280128639271775e-01
5.575837699999999786e-02	-5.348296520885676975e-01
5.614966400000000191e-02	-5.406331196268047146e-01
5.654095099999999902e-02	-5.466454753826165414e-01
5.693223699999999665e-02	-5.528735271412628105e-01
5.732352400000000070e-02	-5.593238032562890538e-01
5.771481099999999781e-02	-5.660025252837986853e-01
5.810609800000000186e-02	-5.729155806920807059e-01
5.849738499999999897e-02	-5.800684957753792226e-01
5.888867200000000302e-02	-5.874664089008962975e-01
5.927995900000000012e-02	-5.951140442183027179e-01
5.967124599999999723e-02	-6.030156859612512132e-01
6.006253200000000181e-02	-6.111751534706320044e-01
6.045381899999999892e-02	-6.195957770694325850e-01
6.084510600000000297e-02	-6.282803749188323739e-01
6.123639300000000008e-02	-6.372312309843704003e-01
6.162767999999999718e-02	-6.464500742394915234e-01
6.201896700000000123e-02	-6.559380592313609482e-01
6.241025399999999834e-02	-6.656957481304015545e-01
6.280154000000000292e-02	-6.757230943804614087e-01
6.319282699999999309e-02	-6.860194280608448159e-01
6.358411399999999714e-02	-6.965834430647200870e-01
6.397540100000000118e-02	-7.074131861908130592e-01
6.436668800000000523e-02	-7.185060482370135837e-01
6.475797499999999540e-02	-7.298587571757356729e-01
6.514926199999999945e-02	-7.414673734817224249e-01
6.554054900000000350e-02	-7.533272876735433998e-01
6.593183499999999420e-02	-7.654332201203589703e-01
6.632312199999999824e-02	-7.777792231557173475e-01
6.671440900000000229e-02	-7.903586855303208480e-01
6.710569600000000634e-02	-8.031643392259856240e-01
6.749698299999999651e-02	-8.161882686434905887e-01
6.788827000000000056e-02	-8.294219221676518705e-01
6.827955700000000461e-02	-8.428561261036754404e-01
6.867084299999999530e-02	-8.564811009694947019e-01
6.906212999999999935e-02	-8.702864801192931044e-01
6.945341700000000340e-02	-8.842613306637104875e-01
6.984470399999999357e-02	-8.983941766424257125e-01
7.023599099999999762e-02	-9.126730243950146315e-01
7.062727800000000167e-02	-9.270853900663322822e-01
7.101856500000000572e-02	-9.416183291732286298e-01
7.140985199999999589e-02	-9.562584681502225292e-01
7.180113800000000046e-02	-9.709920377828531457e-01
7.219242500000000451e-02	-9.858049084288634800e-01
7.258371199999999468e-02	-1.000682626919194185e+00
7.297499899999999873e-02	-1.015610455023029601e+00
7.336628600000000278e-02	-1.030573409353849668e+00
7.375757300000000682e-02	-1.045556302586588160e+00
7.414885999999999699e-02	-1.060543785849535237e+00
7.454014600000000157e-02	-1.075520392148532789e+00
7.493143300000000562e-02	-1.090470580675273471e+00
7.532271999999999579e-02	-1.105378781846181546e+00
7.571400699999999984e-02	-1.120229442913502238e+00
7.610529400000000388e-02	-1.135007073985948134e+00
7.649658099999999405e-02	-1.149696294292514187e+00
7.688786799999999810e-02	-1.164281878519872526e+00
7.727915500000000215e-02	-1.178748803050986949e+00
7.767044100000000673e-02	-1.193082291930247063e+00
7.806172799999999690e-02	-1.207267862378565537e+00
7.845301500000000094e-02	-1.221291369680646444e+00
7.884430200000000499e-02	-1.235139051266197718e+00
7.923558899999999516e-02	-1.248797569807422736e+00
7.962687599999999921e-02	-1.262254055156839971e+00
8.001816300000000326e-02	-1.275496144952543931e+00
8.040944899999999396e-02	-1.288512023722554911e+00
8.080073599999999800e-02	-1.301290460325971399e+00
8.119202300000000205e-02	-1.313820843576181563e+00
8.158331000000000610e-02	-1.326093215900189248e+00
8.197459699999999627e-02	-1.338098304897787250e+00
8.236588400000000032e-02	-1.349827552674407460e+00
8.275717100000000437e-02	-1.361273142831482819e+00
8.314845799999999454e-02	-1.372428025007679242e+00
8.353974399999999911e-02	-1.383285936873190680e+00
8.393103100000000316e-02	-1.393841423487442555e+00
8.432231799999999333e-02	-1.404089853938254695e+00
8.471360499999999738e-02	-1.414027435188093040e+00
8.510489200000000143e-02	-1.423651223060772519e+00
8.549617900000000548e-02	-1.432959130310117457e+00
8.588746599999999565e-02	-1.441949931720754252e+00
8.627875200000000022e-02	-1.450623266200449901e+00
8.667003900000000427e-02	-1.458979635833255184e+00
8.706132599999999444e-02	-1.467020401873137203e+00
8.745261299999999849e-02	-1.474747777668833582e+00
8.784390000000000254e-02	-1.482164818522296423e+00
8.823518700000000659e-02	-1.489275408495282615e+00
8.862647399999999676e-02	-1.496084244191291601e+00
8.901776100000000080e-02	-1.502596815553022935e+00
8.940904700000000538e-02	-1.508819383728734476e+00
8.980033399999999555e-02	-1.514758956074189866e+00
9.019162099999999960e-02	-1.520423258370128927e+00
9.058290800000000365e-02	-1.525820704348155532e+00
9.097419499999999382e-02	-1.530960362630386706e+00
9.136548199999999786e-02	-1.535851921199931747e+00
9.175676900000000191e-02	-1.540505649530113041e+00
9.214805500000000649e-02	-1.544932358510208381e+00
9.253934199999999666e-02	-1.549143358314322372e+00
9.293062900000000071e-02	-1.553150414367835852e+00
9.332191600000000475e-02	-1.556965701572817107e+00
9.371320299999999492e-02	-1.560601756959924868e+00
9.410448999999999897e-02	-1.564071430939863339e+00
9.449577700000000302e-02	-1.567387837332430367e+00
9.488706399999999319e-02	-1.570564302355702102e+00
9.527834999999999777e-02	-1.573614312761951073e+00
9.566963700000000181e-02	-1.576551463310548185e+00
9.606092400000000586e-02	-1.579389403771408018e+00
9.645221099999999603e-02	-1.582141785655579724e+00
9.684349800000000008e-02	-1.584822208872442184e+00
9.723478500000000413e-02	-1.587444168515665055e+00
9.762607199999999430e-02	-1.590021001982600879e+00
9.801735799999999887e-02	-1.592565836634007859e+00
9.840864500000000292e-02	-1.595091538202842996e+00
9.879993199999999309e-02	-1.597610660162175344e+00
9.919121899999999714e-02	-1.600135394262902411e+00
9.958250600000000119e-02	-1.602677522451748438e+00
9.997379300000000524e-02	-1.605248370378792089e+00
1.003650799999999954e-01	-1.607858762701324773e+00
1.007563669999999995e-01	-1.610518980387039667e+00
1.011476530000000040e-01	-1.613238720214247524e+00
1.015389399999999942e-01	-1.616027056659987249e+00
1.019302269999999982e-01	-1.618892406358544367e+00
1.023215140000000023e-01	-1.621842495303040810e+00
1.027128010000000063e-01	-1.624884328951489376e+00
1.031040879999999965e-01	-1.628024165386099842e+00
1.034953750000000006e-01	-1.631267491660791435e+00
1.038866610000000051e-01	-1.634619003456937669e+00
1.042779479999999953e-01	-1.638082588151472008e+00
1.046692349999999994e-01	-1.641661311384732036e+00
1.050605220000000034e-01	-1.645357407197908906e+00
1.054518089999999936e-01	-1.649172271791776723e+00
1.058430959999999976e-01	-1.653106460939629319e+00
1.062343830000000017e-01	-1.657159691068197382e+00
1.066256700000000057e-01	-1.661330844000880935e+00
1.070169559999999964e-01	-1.665617975338049117e+00
1.074082430000000005e-01	-1.670018326429453026e+00
1.077995300000000045e-01	-1.674528339874083116e+00
1.081908169999999947e-01	-1.679143678463142386e+00
1.085821039999999987e-01	-1.683859247462323294e+00
1.089733910000000028e-01	-1.688669220110401215e+00
1.093646780000000068e-01	-1.693567066192369186e+00
