x	zg sin panza y centrada
0.073257054	-0.772671676
0.073647758	-0.729351642
0.074038463	-0.815749776
0.074429167	-1.310907041
0.074819871	-1.471254633
0.075210576	-1.419450372
0.07560128	-1.086398681
0.075991984	-0.846702782
0.076382688	-0.892668301
0.076773393	-0.962182687
0.077164097	-1.000733278
0.077554801	-1.212127455
0.077945506	-1.234879829
0.07833621	-1.23819873
0.078726914	-1.134829644
0.079117618	-1.092329929
0.079508323	-1.103227171
0.079899027	-1.353990623
0.080289731	-1.659919491
0.080680436	-1.479898037
0.08107114	-1.385758022
0.081461844	-1.253418846
0.081852548	-1.053437476
0.082243253	-1.075152677
0.082633957	-1.097435751
0.083024661	-1.161913215
0.083415366	-1.143848603
0.08380607	-1.443263245
0.084196774	-1.219717083
0.084587478	-1.039829347
0.084978183	-0.90314302
0.085368887	-0.887861734
0.085759591	-0.74289105
0.086150296	-0.730341529
0.086541	-0.846536028
0.086931704	-1.128556304
0.087322409	-1.171398688
0.087713113	-1.132722841
0.088103817	-1.147392402
0.088494521	-1.516508041
0.088885226	-1.249872905
0.08927593	-1.143180615
0.089666634	-1.149507431
0.090057339	-1.266783523
0.090448043	-1.18979056
0.090838747	-1.13683214
0.091229451	-1.084413705
0.091620156	-1.065454169
0.09201086	-0.813396817
0.092401564	-0.897407167
0.092792269	-1.111584389
0.093182973	-1.229473077
0.093573677	-1.092637372
0.093964381	-0.963593173
0.094355086	-0.97880284
0.09474579	-0.944957923
0.095136494	-1.143118275
0.095527199	-1.298476399
0.095917903	-1.327099906
0.096308607	-1.113399896
0.096699311	-1.106299547
0.097090016	-1.144771985
0.09748072	-1.213786507
0.097871424	-1.205870069
0.098262129	-1.302507247
0.098652833	-1.383450406
0.099043537	-1.426004363
0.099434241	-1.202498516
0.099824946	-1.061900187
0.10021565	-0.985926921
0.100606354	-0.986504359
0.100997059	-0.960755965
0.101387763	-0.867326039
0.101778467	-0.910862185
0.102169171	-0.976556341
0.102559876	-0.980645308
0.10295058	-0.990111544
0.103341284	-1.113718172
0.103731989	-1.304919158
0.104122693	-1.251592739
0.104513397	-1.030232912
0.104904102	-1.032445168
0.105294806	-1.108263704
0.10568551	-1.190841761
0.106076214	-1.025904585
0.106466919	-0.934638466
0.106857623	-0.915508789
0.107248327	-0.864918536
0.107639032	-0.818164753
0.108029736	-0.878778849
0.10842044	-0.953124216
0.108811144	-0.996361351
0.109201849	-0.904096463
0.109592553	-1.04139791
0.109983257	-1.154379846
0.110373962	-1.165438088
0.110764666	-1.19875176
0.11115537	-1.256530921
0.111546074	-1.159008462
0.111936779	-0.981590368
0.112327483	-0.983950006
0.112718187	-1.071423861
0.113108892	-1.131041382
0.113499596	-1.202051955
0.1138903	-1.202031602
0.114281004	-1.226100287
0.114671709	-1.226114587
0.115062413	-1.209568079
0.115453117	-1.237005656
0.115843822	-1.296492149
0.116234526	-1.405226415
0.11662523	-1.388688403
0.117015934	-1.273595839
0.117406639	-1.375285158
0.117797343	-1.480333395
0.118188047	-1.532365872
0.118578752	-1.42084516
0.118969456	-1.143695381
0.11936016	-0.969760597
0.119750864	-0.849466105
0.120141569	-1.398905366
0.120532273	-1.377667565
0.120922977	-1.271677155
0.121313682	-1.067530888
0.121704386	-0.968433725
0.12209509	-1.260926362
0.122485795	-1.344514808
0.122876499	-1.378209598
0.123267203	-0.893635406
0.123657907	-0.92030457
0.124048612	-0.973055172
0.124439316	-1.121542613
0.12483002	-1.165440065
0.125220725	-1.065181587
0.125611429	-0.928484813
0.126002133	-0.68122808
0.126392837	-0.501039298
0.126783542	-0.626159154
0.127174246	-0.828376507
0.12756495	-0.990793188
0.127955655	-1.016974069
0.128346359	-1.247612099
0.128737063	-1.385467478
0.129127767	-1.349065391
0.129518472	-1.042356517
0.129909176	-1.107330437
0.13029988	-1.307108542
0.130690585	-1.372227815
0.131081289	-1.387790907
0.131471993	-1.335909758
0.131862697	-1.289039359
0.132253402	-1.196151154
0.132644106	-1.189493153
0.13303481	-1.297753381
0.133425515	-1.259543177
0.133816219	-1.098206039
0.134206923	-1.010209179
0.134597627	-1.146274944
0.134988332	-1.194263256
0.135379036	-1.286635421
0.13576974	-1.379494132
0.136160445	-1.373745121
0.136551149	-1.362437273
0.136941853	-1.465688833
0.137332557	-1.390627407
0.137723262	-1.448130844
0.138113966	-1.338309637
0.13850467	-1.130773646
0.138895375	-1.299522221
0.139286079	-1.458249874
0.139676783	-1.483881772
0.140067487	-1.400429134
0.140458192	-1.434179559
0.140848896	-1.477227778
0.1412396	-1.413136981
0.141630305	-1.327812085
0.142021009	-1.301475456
0.142411713	-1.324551333
0.142802418	-1.425204866
0.143193122	-1.423746741
0.143583826	-1.572441094
0.14397453	-1.552511011
0.144365235	-1.55081878
0.144755939	-1.536813208
0.145146643	-1.523474367
0.145537348	-1.570256423
0.145928052	-1.598107216
0.146318756	-1.513656901
0.14670946	-1.321951471
0.147100165	-1.319114621
0.147490869	-1.364975454
0.147881573	-1.469313815
0.148272278	-1.506022189
0.148662982	-1.548473865
0.149053686	-1.485282836
0.14944439	-1.431594975
0.149835095	-1.462628481
0.150225799	-1.672111929
0.150616503	-1.622516199
0.151007208	-1.469477166
0.151397912	-1.396170984
0.151788616	-1.609338989
0.15217932	-1.760117287
0.152570025	-1.813673398
0.152960729	-1.812600492
0.153351433	-2.030611386
0.153742138	-2.113181769
0.154132842	-2.049576397
0.154523546	-1.76870798
0.15491425	-1.650203892
0.155304955	-1.638501698
0.155695659	-1.646780817
0.156086363	-1.392281464
0.156477068	-1.386102811
0.156867772	-1.37540177
0.157258476	-1.084813699
0.15764918	-0.653033556
0.158039885	-0.677938785
0.158430589	-0.859095765
0.158821293	-1.022107328
0.159211998	-1.125373276
0.159602702	-1.283362287
0.159993406	-1.258084943
0.160384111	-1.227521966
0.160774815	-1.164074459
0.161165519	-1.277904792
0.161556223	-1.544127669
