x	zg centrada sin panza
0.422512005	-0.176371482
0.423551395	-0.240017273
0.424590785	-0.172884677
0.425630175	0.076506964
0.426669565	0.520707546
0.427708955	0.398680614
0.428748345	0.477688945
0.429787735	0.560805949
0.430827125	0.656509187
0.431866515	0.71670254
0.432905905	0.649811141
0.433945295	0.767376321
0.434984685	0.838597459
0.436024075	0.516773944
0.437063464	0.21072401
0.438102854	0.049149399
0.439142244	0.232063036
0.440181634	0.3816632
0.441221024	0.208619075
0.442260414	0.140215969
0.443299804	0.378407575
0.444339194	0.326321219
0.445378584	0.347542821
0.446417974	0.505901346
0.447457364	0.598447718
0.448496754	0.739992183
0.449536144	0.502875628
0.450575533	0.636421867
0.451614923	0.811425612
0.452654313	0.781606074
0.453693703	1.142664962
0.454733093	1.230540787
0.455772483	1.144015608
0.456811873	1.583999633
0.457851263	1.594841402
0.458890653	1.984345469
0.459930043	2.203405116
0.460969433	2.466547821
0.462008823	2.517930034
0.463048213	2.422894456
0.464087603	2.427142612
0.465126992	2.798254511
0.466166382	2.804856068
0.467205772	2.983745665
0.468245162	3.047621109
0.469284552	3.049180104
0.470323942	3.474678875
0.471363332	3.531891525
0.472402722	3.478681933
0.473442112	3.634222468
0.474481502	3.476223173
0.475520892	3.64541621
0.476560282	4.151236413
0.477599672	3.978518611
0.478639062	4.569989742
0.479678451	4.597100698
0.480717841	4.534133435
0.481757231	4.599759857
0.482796621	4.763625271
0.483836011	5.061087419
0.484875401	5.165008626
0.485914791	5.150150289
0.486954181	5.612245622
0.487993571	5.803375088
0.489032961	5.701053169
0.490072351	6.019480565
0.491111741	5.877692616
0.492151131	6.029408822
0.493190521	6.226897233
0.49422991	6.176700017
0.4952693	6.300433631
0.49630869	6.340351491
0.49734808	6.326141622
0.49838747	6.428338778
0.49942686	6.269762947
0.50046625	6.297779226
0.50150564	6.265397905
0.50254503	6.182642588
0.50358442	6.33268376
0.50462381	6.333915003
0.5056632	6.493650675
0.50670259	6.258382432
0.507741979	6.466750373
0.508781369	6.63943292
0.509820759	6.64941879
0.510860149	6.394112168
0.511899539	6.219881569
0.512938929	6.155770948
0.513978319	6.12567062
0.515017709	5.900939836
0.516057099	5.83487166
0.517096489	5.61920916
0.518135879	5.652920188
0.519175269	5.737139857
0.520214659	5.401924681
0.521254049	5.289434161
0.522293438	5.013178514
0.523332828	4.737506718
0.524372218	4.690281761
0.525411608	4.632202358
0.526450998	4.572193843
0.527490388	4.63417941
0.528529778	4.192069606
0.529569168	4.072232731
0.530608558	3.679002216
0.531647948	3.569431574
0.532687338	3.424591521
0.533726728	3.406631531
0.534766118	3.475929477
0.535805508	3.295154127
0.536844897	2.886282642
0.537884287	2.957537063
0.538923677	2.926972059
0.539963067	2.667337657
0.541002457	2.536291788
0.542041847	2.443028132
0.543081237	2.404915049
0.544120627	2.271420325
0.545160017	1.758955497
0.546199407	1.840993232
0.547238797	2.119347363
0.548278187	2.367564336
0.549317577	2.481080931
0.550356967	2.045454436
0.551396356	1.87575159
0.552435746	1.891769834
0.553475136	2.018132238
0.554514526	1.950253886
0.555553916	1.923326799
0.556593306	1.89227644
0.557632696	1.764411085
0.558672086	1.721924332
0.559711476	1.760166586
0.560750866	1.873818118
0.561790256	1.635613211
0.562829646	1.586411693
0.563869036	1.532888453
0.564908425	1.384877499
0.565947815	1.411917261
0.566987205	1.390760999
0.568026595	1.356355842
0.569065985	1.40509754
0.570105375	1.185447623
0.571144765	1.208096057
0.572184155	1.129797054
0.573223545	1.175908793
0.574262935	1.017987822
0.575302325	1.064079637
0.576341715	0.937013292
0.577381105	1.026286582
0.578420495	0.60441154
0.579459884	0.609591825
0.580499274	0.658994622
0.581538664	0.702476648
0.582578054	0.675552854
0.583617444	0.588446494
0.584656834	0.619271565
0.585696224	0.804523828
0.586735614	0.552943746
0.587775004	0.406731593
0.588814394	0.496875443
0.589853784	0.779981568
0.590893174	0.93584347
0.591932564	0.860293026
0.592971954	0.910688128
0.594011343	0.895368952
0.595050733	0.982339653
0.596090123	1.009474885
0.597129513	1.21254246
0.598168903	1.185149919
0.599208293	1.370570989
0.600247683	1.716915245
0.601287073	1.901437351
0.602326463	1.8641079
0.603365853	1.628269368
0.604405243	1.67188538
0.605444633	1.702312015
0.606484023	1.685147655
0.607523413	1.809304613
0.608562802	1.890437395
0.609602192	2.012927526
0.610641582	1.88939476
0.611680972	1.817272309
0.612720362	1.843286167
0.613759752	2.088969715
0.614799142	2.226982924
0.615838532	2.357771589
0.616877922	2.531975852
0.617917312	2.574093079
0.618956702	2.605031486
0.619996092	2.572603435
0.621035482	2.676498274
0.622074872	2.5825514
0.623114261	2.707044382
0.624153651	2.892361346
0.625193041	2.727574831
0.626232431	2.690308123
0.627271821	2.845694679
0.628311211	2.924626237
0.629350601	2.907625577
0.630389991	2.973620609
0.631429381	3.137505086
0.632468771	3.00037716
0.633508161	2.861654814
0.634547551	2.731076503
0.635586941	3.036989919
0.63662633	3.095975301
0.63766572	3.222287774
0.63870511	3.068299554
0.6397445	3.008558771
0.64078389	2.978570402
0.64182328	2.97942055
0.64286267	3.046796758
0.64390206	2.98775601
0.64494145	2.980261054
0.64598084	2.899477549
0.64702023	3.118945938
0.64805962	3.060745424
0.64909901	2.91294753
0.6501384	2.95424363
0.651177789	2.998500754
0.652217179	2.950326052
0.653256569	2.817111953
0.654295959	2.83329518
0.655335349	2.946837728
0.656374739	2.936176232
0.657414129	3.035487497
0.658453519	3.071641629
0.659492909	3.01102074
0.660532299	2.974810668
0.661571689	3.068136525
0.662611079	3.058433811
0.663650469	3.11306976
0.664689859	3.143329238
0.665729248	3.140499028
0.666768638	3.296812474
0.667808028	3.333840544
0.668847418	3.284183335
0.669886808	3.332305082
0.670926198	3.302057181
0.671965588	3.22373792
0.673004978	3.502718705
0.674044368	3.613537961
0.675083758	3.613419239
0.676123148	3.795263391
0.677162538	3.985872488
0.678201928	3.758464644
0.679241318	3.645611131
0.680280707	3.036633694
0.681320097	2.88760701
0.682359487	2.076103703
0.683398877	1.949906905
0.684438267	1.525119284
0.685477657	0.708718455
0.686517047	0.332185418
0.687556437	0.605012418
0.688595827	1.000801068
0.689635217	0.997907681
0.690674607	1.146433179
0.691713997	1.010771341
0.692753387	1.087260047
0.693792776	0.916801835
0.694832166	1.036976204
0.695871556	1.204038747
0.696910946	0.829622252
0.697950336	0.859239523
0.698989726	0.846374205
0.700029116	0.672390076
0.701068506	0.63448174
0.702107896	0.371702806
0.703147286	0.236567387
0.704186676	0.251482342
0.705226066	0.089689511
0.706265456	0.140853565
0.707304846	0.220658374
0.708344235	-0.061844532
0.709383625	-0.026684435
0.710423015	-0.0154394
0.711462405	-0.266289081
0.712501795	-0.55513161
0.713541185	-1.313449673
0.714580575	-1.268856565
0.715619965	-1.390168857
0.716659355	-1.922316702
0.717698745	-1.81694013
0.718738135	-1.780847177
0.719777525	-1.604043463
0.720816915	-1.680084851
0.721856305	-2.022433576
0.722895694	-2.019954375
0.723935084	-2.045552635
0.724974474	-2.315912323
0.726013864	-2.306935615
0.727053254	-2.491909794
0.728092644	-2.376340993
0.729132034	-2.481150703
0.730171424	-3.116578224
0.731210814	-3.033829347
0.732250204	-2.989426371
0.733289594	-2.681073238
0.734328984	-2.680012829
0.735368374	-3.14296729
0.736407764	-3.337038658
0.737447153	-3.202379516
0.738486543	-3.110346458
0.739525933	-3.215109959
0.740565323	-3.178410895
0.741604713	-2.859321505
0.742644103	-2.895041212
0.743683493	-2.954880746
0.744722883	-3.023080057
