# X 	Z
5.410156249999999861e-02	-7.781480345918476704e-01
5.518359375000000261e-02	-6.052642668014309724e-01
5.626562499999999967e-02	-4.247512269496087622e-01
5.734765624999999672e-02	-5.216814732541918964e-01
5.842968750000000072e-02	-4.646097118112424429e-01
5.951171874999999778e-02	-5.066047849897838962e-01
6.059375000000000178e-02	-3.104175033098508507e-01
6.167578124999999883e-02	-1.630072651141722950e-02
6.275781249999999589e-02	-7.495879039539188327e-02
6.383984374999999989e-02	-3.117354625568213855e-02
6.492187500000000389e-02	-9.911144986493813924e-02
6.600390624999999400e-02	5.684165028010990106e-02
6.708593749999999800e-02	2.940357696964353007e-01
6.816796875000000200e-02	2.247480894455269329e-01
6.925000000000000600e-02	2.773899064504161682e-01
7.033203124999999611e-02	2.589874451026217272e-01
7.141406250000000011e-02	2.239877079867624854e-01
7.249609375000000411e-02	2.587500639071464992e-01
7.357812499999999423e-02	2.348238637498623049e-01
7.466015624999999822e-02	2.183653181396756349e-01
7.574218750000000222e-02	2.575311315641610754e-01
7.682421875000000622e-02	2.339802340662384683e-01
7.790624999999999634e-02	2.244263829915438269e-01
7.898828125000000033e-02	2.332922869899911600e-01
8.007031250000000433e-02	2.327040709940901841e-01
8.115234374999999445e-02	2.176953656347391242e-01
8.223437499999999845e-02	2.273261812038949170e-01
8.331640625000000244e-02	5.531098402382201851e-01
8.439843750000000644e-02	5.566554883841801082e-01
8.548046874999999656e-02	5.472545267223198895e-01
8.656250000000000056e-02	5.984426455004157042e-01
8.764453125000000455e-02	5.295277367569986016e-01
8.872656249999999467e-02	9.877606412566752869e-01
8.980859374999999867e-02	1.151013604039318849e+00
9.089062500000000266e-02	1.045138447309450935e+00
9.197265625000000666e-02	1.132333357797804974e+00
9.305468749999999678e-02	1.061920777026100104e+00
9.413671875000000078e-02	1.602210680419498434e+00
9.521875000000000477e-02	1.864531395434416705e+00
9.630078124999999489e-02	1.789787270410887032e+00
9.738281249999999889e-02	1.846228654152779036e+00
9.846484375000000289e-02	1.742493988714517439e+00
9.954687500000000688e-02	2.150052709002867157e+00
1.006289062499999970e-01	2.433545053445253625e+00
1.017109375000000010e-01	2.301467303727108948e+00
1.027929687500000050e-01	2.441289769501704399e+00
1.038749999999999951e-01	2.265087586181454782e+00
1.049570312499999991e-01	2.827785103764645314e+00
1.060390625000000031e-01	3.470107157515394558e+00
1.071210937499999932e-01	3.301600240367557948e+00
1.082031249999999972e-01	3.369421498825510675e+00
1.092851562500000012e-01	3.352782712988510383e+00
1.103671875000000052e-01	3.394807295017922666e+00
1.114492187499999953e-01	3.449292655732418389e+00
1.125312499999999993e-01	3.456515996162141224e+00
1.136132812500000033e-01	3.463454383853824758e+00
1.146953124999999934e-01	3.432837586095287552e+00
1.157773437499999974e-01	3.485808811001021024e+00
1.168593750000000014e-01	3.642324892197819519e+00
1.179414062500000054e-01	3.583305729246405669e+00
1.190234374999999956e-01	3.628917695564356283e+00
1.201054687499999996e-01	3.626024931580619448e+00
1.211875000000000036e-01	3.592875247718564147e+00
1.222695312499999937e-01	3.631354265052364028e+00
1.233515624999999977e-01	3.646104738001647583e+00
1.244335937500000017e-01	3.600783861658790830e+00
1.255156249999999918e-01	3.637733747818416408e+00
1.265976562499999958e-01	3.629680749957473029e+00
1.276796874999999998e-01	3.605429224905212227e+00
1.287617187500000038e-01	3.603805011037509054e+00
1.298437500000000078e-01	3.625204770568949630e+00
1.309257812500000118e-01	3.612168577117293999e+00
