# Frequency (Hz)	Amplitude
7.666564845102318282e-01	5.131363137491442607e-03
7.833229298256716433e-01	7.964514039226528938e-03
7.999893751411114584e-01	1.308915292190381344e-02
8.166558204565512735e-01	7.099857784558472225e-03
8.333222657719910886e-01	8.583658890164351171e-03
8.499887110874309037e-01	1.038986196812543422e-02
8.666551564028707189e-01	1.332901395599239876e-02
8.833216017183105340e-01	7.704779332543819879e-03
8.999880470337503491e-01	1.451050886903115442e-02
9.166544923491901642e-01	6.925724634710284620e-03
9.333209376646300903e-01	2.516713301274520545e-02
9.499873829800699054e-01	1.531832083475714000e-02
9.666538282955097205e-01	1.415005019110645787e-02
9.833202736109495357e-01	4.177577407329943239e-03
9.999867189263893508e-01	3.715143185354452017e-03
1.016653164241829055e+00	1.931664508367972322e-02
1.033319609557268981e+00	6.577111700782100820e-03
1.049986054872708685e+00	1.083722702377917096e-02
1.066652500188148611e+00	1.950997120201650864e-02
1.083318945503588537e+00	6.785971742787400181e-03
1.099985390819028241e+00	1.064232687562659610e-02
1.116651836134468168e+00	5.670530707681166287e-03
1.133318281449907872e+00	2.114294199131347071e-02
1.149984726765347798e+00	2.041209189535782981e-02
1.166651172080787502e+00	1.125138158394187703e-02
1.183317617396227428e+00	8.330582493465431282e-03
1.199984062711667132e+00	1.177037583448410293e-02
1.216650508027107058e+00	7.750647227523568827e-03
1.233316953342546762e+00	2.526365102459308606e-02
1.249983398657986688e+00	2.050390210746512107e-02
1.266649843973426393e+00	2.113366698712665359e-02
1.283316289288866319e+00	2.102371739848519008e-02
1.299982734604306023e+00	1.762403358839266868e-02
1.316649179919745949e+00	6.522846434900804458e-02
1.333315625235185653e+00	2.680066200253611655e-02
1.349982070550625579e+00	5.970273516394971475e-02
1.366648515866065505e+00	6.306772519606922145e-02
1.383314961181505209e+00	1.993032024610500580e-02
1.399981406496945135e+00	1.802177006263237444e-02
1.416647851812384840e+00	2.449488670983439656e-02
1.433314297127824766e+00	1.009629638279337625e-02
1.449980742443264470e+00	3.296802117905643648e-02
1.466647187758704396e+00	1.542733682698895978e-02
1.483313633074144100e+00	1.659279033822323723e-02
1.499980078389584026e+00	1.109752560556192397e-02
1.516646523705023730e+00	7.845115244646897953e-03
1.533312969020463656e+00	1.482943976358755758e-02
1.549979414335903360e+00	8.993222561085312261e-03
1.566645859651343287e+00	1.501165316452348145e-02
1.583312304966782991e+00	1.320430365475505283e-02
1.599978750282222917e+00	1.638617350365462882e-02
1.616645195597662843e+00	1.147843902354297313e-02
1.633311640913102547e+00	1.391817015670767342e-02
1.649978086228542473e+00	1.344297112593575462e-02
1.666644531543982177e+00	8.436716404793381460e-03
1.683310976859422103e+00	4.429108883318808032e-03
1.699977422174861807e+00	1.090142545985106279e-02
1.716643867490301734e+00	1.497702209265846032e-02
1.733310312805741438e+00	1.674775942725959324e-02
1.749976758121181364e+00	3.105576304602751178e-02
1.766643203436621068e+00	1.598632457960217149e-02
1.783309648752060994e+00	2.887071511844714958e-02
1.799976094067500698e+00	3.248632200600801156e-03
1.816642539382940624e+00	2.847879168597894362e-02
1.833308984698380328e+00	1.771090385546920942e-02
1.849975430013820255e+00	1.076975930805783820e-02
1.866641875329260181e+00	1.415174076916275551e-02
1.883308320644699885e+00	1.737977674700915895e-02
1.899974765960139811e+00	3.586589910752838867e-03
1.916641211275579515e+00	2.781102757870605388e-02
1.933307656591019441e+00	3.826679395759660651e-02
1.949974101906459145e+00	2.889633766946669499e-02
1.966640547221899071e+00	1.461963955088425166e-02
1.983306992537338775e+00	3.224124326752698250e-02
1.999973437852778702e+00	3.926975584620441551e-02
2.016639883168218628e+00	1.293690540699146511e-02
2.033306328483658110e+00	2.461570281828356563e-02
2.049972773799098036e+00	3.028474328165238136e-02
2.066639219114537962e+00	2.069293563161132832e-02
2.083305664429977888e+00	1.316929992992593550e-02
2.099972109745417370e+00	3.595815190188589305e-02
2.116638555060857296e+00	2.518043069283258141e-03
2.133305000376297222e+00	2.023096291010567302e-02
2.149971445691737149e+00	1.452442106769303437e-02
2.166637891007177075e+00	3.026692715376641876e-02
2.183304336322616557e+00	2.593125208358338166e-02
2.199970781638056483e+00	1.103970918270939794e-02
2.216637226953496409e+00	2.046547635887671981e-02
2.233303672268936335e+00	3.849116371965918132e-02
2.249970117584375817e+00	7.861622564490307330e-03
2.266636562899815743e+00	2.338575996128239992e-02
2.283303008215255669e+00	4.732593997189090546e-02
2.299969453530695596e+00	3.569858216752484770e-02
