# X 	Z
6.708593749999999800e-02	1.584405169766394561e+00
6.816796875000000200e-02	1.643916987766963933e+00
6.925000000000000600e-02	1.703430874498461645e+00
7.033203124999999611e-02	1.762927603490486161e+00
7.141406250000000011e-02	1.822387814096845471e+00
7.249609375000000411e-02	1.881792021031963635e+00
7.357812499999999423e-02	1.941120624061104527e+00
7.466015624999999822e-02	2.000353917839297946e+00
7.574218750000000222e-02	2.059472101893701002e+00
7.682421875000000622e-02	2.118455290743953334e+00
7.790624999999999634e-02	2.177283524154885797e+00
7.898828125000000033e-02	2.235936777515747043e+00
8.007031250000000433e-02	2.294394972339884653e+00
8.115234374999999445e-02	2.352637986878582055e+00
8.223437499999999845e-02	2.410645666842502255e+00
8.331640625000000244e-02	2.468397836223925612e+00
8.439843750000000644e-02	2.525874308212681996e+00
8.548046874999999656e-02	2.583054896198401451e+00
8.656250000000000056e-02	2.639919424851426388e+00
8.764453125000000455e-02	2.696447741274464960e+00
8.872656249999999467e-02	2.752619726216815721e+00
8.980859374999999867e-02	2.808415305342729429e+00
9.089062500000000266e-02	2.863814460545229590e+00
9.197265625000000666e-02	2.918797241296481104e+00
9.305468749999999678e-02	2.973343776025594298e+00
9.413671875000000078e-02	3.027434283514566005e+00
9.521875000000000477e-02	3.081049084302899477e+00
9.630078124999999489e-02	3.134168612091281503e+00
9.738281249999999889e-02	3.186773425134569848e+00
9.846484375000000289e-02	3.238844217614258447e+00
9.954687500000000688e-02	3.290361830980530478e+00
1.006289062499999970e-01	3.341307265254004122e+00
1.017109375000000010e-01	3.391661690277240737e+00
1.027929687500000050e-01	3.441406456906085154e+00
1.038749999999999951e-01	3.490523108130938912e+00
1.049570312499999991e-01	3.538993390118138294e+00
1.060390625000000031e-01	3.586799263161665863e+00
1.071210937499999932e-01	3.633922912535535676e+00
1.082031249999999972e-01	3.680346759237305587e+00
1.092851562500000012e-01	3.726053470613378771e+00
1.103671875000000052e-01	3.771025970857006193e+00
1.114492187499999953e-01	3.815247451370198384e+00
1.125312499999999993e-01	3.858701380981072404e+00
