# X 	Z
1.330898437499999920e-01	9.664531956042671013e+00
1.347128906249999980e-01	9.499395507944997874e+00
1.363359375000000040e-01	9.319295100767989837e+00
1.379589843750000100e-01	9.125107497287201497e+00
1.395820312499999882e-01	8.917701960828466667e+00
1.412050781249999942e-01	8.697939245305482459e+00
1.428281250000000002e-01	8.466670621778781936e+00
1.444511718750000062e-01	8.224736942154034836e+00
1.460742187500000122e-01	7.972967740562115324e+00
1.476972656249999905e-01	7.712180372889969604e+00
1.493203124999999964e-01	7.443179194860052306e+00
1.509433593750000024e-01	7.166754778986835994e+00
1.525664062500000084e-01	6.883683170671616836e+00
1.541894531249999867e-01	6.594725183631416243e+00
1.558124999999999927e-01	6.300625734794089716e+00
1.574355468749999987e-01	6.002113218729792976e+00
1.590585937500000047e-01	5.699898921628530069e+00
1.606816406250000107e-01	5.394676474774593444e+00
1.623046874999999889e-01	5.087121347411236449e+00
1.639277343749999949e-01	4.777890378832847063e+00
1.655507812500000009e-01	4.467621349487126636e+00
1.671738281250000069e-01	4.156932590816385442e+00
1.687968750000000129e-01	3.846422633514965828e+00
1.704199218749999911e-01	3.536669893829025302e+00
1.720429687499999971e-01	3.228232397475454984e+00
1.736660156250000031e-01	2.921647540708621982e+00
1.752890625000000091e-01	2.617431888016888752e+00
1.769121093749999873e-01	2.316081005885552546e+00
1.785351562499999933e-01	2.018069332018947559e+00
1.801582031249999993e-01	1.723850079372065247e+00
1.817812500000000053e-01	1.433855174301159829e+00
1.834042968750000113e-01	1.148495228103488364e+00
1.850273437499999896e-01	8.681595411786424688e-01
1.866503906249999956e-01	5.932161390079000451e-01
1.882734375000000016e-01	3.240118391137312148e-01
1.898964843750000075e-01	6.087234812909673304e-02
1.915195312500000135e-01	-1.958976119244536518e-01
1.931425781249999918e-01	-4.460141490795622721e-01
1.947656249999999978e-01	-6.892140195430631611e-01
1.963886718750000038e-01	-9.252544194740849326e-01
1.980117187500000098e-01	-1.153912751423487704e+00
1.996347656249999880e-01	-1.374986366457922271e+00
2.012578124999999940e-01	-1.588292283009485661e+00
2.028808593750000000e-01	-1.793666883507190057e+00
2.045039062500000060e-01	-1.990965589859199358e+00
2.061269531250000120e-01	-2.180062518864982035e+00
2.077499999999999902e-01	-2.360850118644154172e+00
2.093730468749999962e-01	-2.533238787173852202e+00
2.109960937500000022e-01	-2.697156474029010376e+00
2.126191406250000082e-01	-2.852548266420002587e+00
2.142421874999999865e-01	-2.999375960619822923e+00
