# Frequency (Hz)	Transfer Amplitude
2.439967594180389554e+00	5.108525382679834914e-02
2.479967062937445288e+00	7.036574241106681449e-02
2.519966531694500578e+00	2.328645093258577617e-02
2.559966000451556312e+00	3.623811762678197379e-02
2.599965469208612046e+00	4.004589090165149717e-02
2.639964937965667335e+00	2.335878849976676455e-02
2.679964406722723069e+00	3.326819501374708721e-02
2.719963875479778359e+00	4.599071593945584790e-02
2.759963344236834093e+00	5.009173985175952026e-02
2.799962812993889827e+00	6.425403774041589522e-02
2.839962281750945117e+00	3.830040931276286476e-02
2.879961750508000851e+00	5.751561178536982594e-02
2.919961219265056585e+00	1.340630483628846570e-01
2.959960688022111874e+00	1.464761439663295473e-01
2.999960156779167608e+00	4.205046056509486457e-02
3.039959625536223342e+00	8.463447480605816586e-02
3.079959094293278632e+00	5.981067164156191052e-02
3.119958563050334366e+00	7.466313460211730646e-02
3.159958031807389656e+00	8.433842990793549710e-02
3.199957500564445390e+00	4.810454540309337668e-02
3.239956969321501123e+00	2.373118868822177152e-02
3.279956438078556413e+00	3.573375453835665044e-02
3.319955906835612147e+00	2.255062659118221152e-02
3.359955375592667437e+00	4.538567093497809790e-02
3.399954844349723171e+00	3.232656353693207779e-02
3.439954313106778905e+00	2.965004768668469751e-02
3.479953781863834195e+00	7.334026304153185016e-02
3.519953250620889929e+00	6.054226996243371184e-02
3.559952719377945662e+00	1.241668026926587148e-01
3.599952188135000952e+00	7.352883812821381371e-02
3.639951656892056686e+00	5.808229411932996217e-02
3.679951125649112420e+00	9.907272308547875050e-02
3.719950594406167710e+00	3.722717411248028380e-02
3.759950063163223444e+00	8.634083146838150702e-02
3.799949531920278734e+00	4.506758028217167783e-02
3.839949000677334467e+00	4.036502635547139367e-02
3.879948469434390201e+00	4.107542850268259410e-02
3.919947938191445491e+00	1.961931582774864916e-02
3.959947406948501225e+00	1.835693064165199451e-01
3.999946875705556515e+00	3.341310250037332619e-02
4.039946344462612693e+00	6.293362610640382271e-02
4.079945813219667983e+00	1.057345325698353933e-01
4.119945281976723273e+00	6.756493540479258098e-02
4.159944750733778562e+00	5.077183711008458750e-02
4.199944219490834740e+00	1.429893879013238722e-01
4.239943688247890030e+00	3.354259616882123568e-02
4.279943157004945320e+00	5.169286425151262132e-02
4.319942625762001498e+00	3.636899842348132600e-02
4.359942094519056788e+00	1.269554886672566996e-01
4.399941563276112078e+00	3.715012862929416293e-02
4.439941032033168256e+00	1.037672369865028643e-01
4.479940500790223545e+00	7.794499754615163978e-02
4.519939969547278835e+00	7.156046896831455562e-02
4.559939438304335013e+00	5.255468692931716118e-02
4.599938907061390303e+00	5.566425889705892832e-02
4.639938375818445593e+00	1.056658691851770637e-01
