x	zg centrado y sin panza
0.05579571	-0.180999691
0.05631474	-0.217886867
0.05683377	-0.002154537
0.0573528	0.025182661
0.05787183	0.047597181
0.05839086	-0.008390265
0.058909889	0.028329269
0.059428919	0.016694779
0.059947949	-0.055103777
0.060466979	-0.226259673
0.060986009	-0.40158434
0.061505039	-0.364194505
0.062024069	-0.512934503
0.062543098	-0.637935676
0.063062128	-0.544831566
0.063581158	-0.093041087
0.064100188	0.020500701
0.064619218	-0.184834532
0.065138248	-0.580549868
0.065657278	-0.545847609
0.066176307	-0.40588946
0.066695337	-0.315077598
0.067214367	-0.274043958
0.067733397	-0.268463161
0.068252427	-0.308249581
0.068771457	-0.32550638
0.069290487	-0.307974117
0.069809516	-0.371983986
0.070328546	-0.152257626
0.070847576	0.175186548
0.071366606	0.014752705
0.071885636	-0.538133667
0.072404666	-0.630934708
0.072923695	-0.545406552
0.073442725	-0.403581104
0.073961755	-0.472238174
0.074480785	-0.431850665
0.074999815	-0.360761108
0.075518845	-0.567953115
0.076037875	-0.316827572
0.076556904	-0.32291424
0.077075934	-0.319545488
0.077594964	-0.289881144
0.078113994	-0.292838917
0.078633024	-0.330392626
0.079152054	-0.577488364
0.079671084	-0.747059897
0.080190113	-0.531830424
0.080709143	-0.547049205
0.081228173	-0.77617036
0.081747203	-0.979294805
0.082266233	-0.882781555
0.082785263	-0.621507684
0.083304292	-0.523666811
0.083823322	-0.484337322
0.084342352	-0.290631339
0.084861382	-0.261332674
0.085380412	-0.150070207
0.085899442	0.008222183
0.086418472	-0.006032115
0.086937501	-0.148558968
0.087456531	-0.17895095
0.087975561	-0.185174116
0.088494591	-0.469837512
0.089013621	-0.468160823
0.089532651	-0.340270928
0.090051681	-0.1216945
0.09057071	-0.168145328
0.09108974	-0.327592178
0.09160877	-0.384120802
0.0921278	-0.302938772
0.09264683	-0.031638362
0.09316586	-0.01337101
0.093684889	-0.147215251
0.094203919	-0.17161137
0.094722949	-0.24701987
0.095241979	-0.141750837
0.095761009	-0.073710178
0.096280039	-0.110667801
0.096799069	-0.113287265
0.097318098	-0.069955632
0.097837128	0.004264737
0.098356158	-0.055789762
0.098875188	-0.032723451
0.099394218	0.286798847
0.099913248	0.359848592
0.100432278	0.375881244
0.100951307	0.112158315
0.101470337	0.035105424
0.101989367	0.098146477
0.102508397	-0.154512616
0.103027427	-0.164663913
0.103546457	-0.078075847
0.104065487	-0.028176539
0.104584516	-0.108667589
0.105103546	0.019303853
0.105622576	0.107551408
0.106141606	-0.004359269
0.106660636	-0.133902374
0.107179666	-0.094760944
0.107698695	0.403638409
0.108217725	0.536041253
0.108736755	0.596058813
0.109255785	0.352747763
0.109774815	0.329481003
0.110293845	0.33829568
0.110812875	0.468229767
0.111331904	0.38488919
0.111850934	0.560037483
0.112369964	0.540936745
0.112888994	0.315032627
0.113408024	0.227983429
0.113927054	0.165563014
0.114446084	0.150326068
0.114965113	-0.004265119
0.115484143	0.088240924
0.116003173	0.312129649
0.116522203	0.407224655
0.117041233	0.641938656
0.117560263	0.751651208
0.118079292	0.760290009
0.118598322	0.773839474
0.119117352	0.841838541
0.119636382	0.859421987
0.120155412	0.646880663
0.120674442	0.622387192
0.121193472	0.752851151
0.121712501	1.046604678
0.122231531	0.972658159
0.122750561	0.897330341
0.123269591	1.016498214
0.123788621	1.0599027
0.124307651	1.157154636
0.124826681	1.147033724
0.12534571	1.074011546
0.12586474	0.954348267
0.12638377	0.967616363
0.1269028	0.618324709
0.12742183	0.45469112
0.12794086	0.374321398
0.12845989	0.693276044
0.128978919	0.750454224
0.129497949	1.110320559
0.130016979	1.275537868
0.130536009	1.231104257
