x	zg sin panza centrado
0.073328094	-1.822956222
0.073974156	-1.900033533
0.074620219	-1.876065179
0.075266281	-1.901725057
0.075912344	-2.12418106
0.076558406	-2.129398647
0.077204469	-1.91489684
0.077850531	-2.068830093
0.078496594	-1.80854028
0.079142656	-1.789884799
0.079788719	-1.8404143
0.080434781	-1.895003776
0.081080844	-2.055863366
0.081726906	-2.187817055
0.082372969	-2.163411854
0.083019031	-2.212434609
0.083665094	-2.128752752
0.084311156	-2.095350902
0.084957219	-2.212695988
0.085603281	-2.168362899
0.086249344	-2.169662591
0.086895406	-2.070532505
0.087541469	-2.008843816
0.088187531	-2.034609204
0.088833594	-1.862587757
0.089479656	-1.978696248
0.090125719	-1.997711947
0.090771781	-2.136104323
0.091417844	-2.073901762
0.092063906	-1.716402175
0.092709969	-1.683072853
0.093356031	-1.736943239
0.094002094	-1.690784231
0.094648156	-1.556124706
0.095294219	-1.310550162
0.095940281	-1.452147128
0.096586344	-1.72423383
0.097232406	-1.511018639
0.097878469	-1.719633337
0.098524531	-1.667259333
0.099170594	-1.66920698
0.099816656	-1.588114827
0.100462719	-1.527610814
0.101108781	-1.545268749
0.101754844	-1.664192651
0.102400906	-1.646505397
0.103046969	-1.482785026
0.103693031	-1.381581718
0.104339094	-1.560918086
0.104985156	-1.712236855
0.105631219	-1.614823551
0.106277281	-1.488536281
0.106923344	-1.465085167
0.107569406	-1.460055451
0.108215469	-1.486432749
0.108861531	-1.171078827
0.109507594	-0.974788027
0.110153656	-1.405072775
0.110799719	-1.554605257
0.111445781	-1.332284239
0.112091844	-1.142568684
0.112737906	-1.279117495
0.113383969	-1.268663061
0.114030031	-1.259696589
0.114676094	-1.155435713
0.115322156	-1.243915328
0.115968219	-1.386808645
0.116614281	-1.410349855
0.117260344	-1.406542041
0.117906406	-1.125934704
0.118552469	-1.14090867
0.119198531	-1.093035401
0.119844594	-0.954147751
0.120490656	-0.994972122
0.121136719	-1.178515345
0.121782781	-1.213882849
0.122428844	-1.134509515
0.123074906	-0.868266154
0.123720969	-0.842439005
0.124367031	-0.846567562
0.125013094	-0.82702474
0.125659156	-0.717567259
0.126305219	-0.565160613
0.126951281	-0.56041736
0.127597344	-0.548200621
0.128243406	-0.68141473
0.128889469	-0.682584747
0.129535531	-0.845120756
0.130181594	-0.841820509
0.130827656	-0.595321663
0.131473719	-0.349187382
0.132119781	-0.395523794
0.132765844	-0.396022754
0.133411906	-0.424980516
0.134057969	-0.318382079
0.134704031	-0.401276479
0.135350094	-0.413658561
0.135996156	-0.405742493
0.136642219	-0.354392986
0.137288281	-0.396002292
