# Frequency (Hz)	Transfer Amplitude
3.946614250696150350e+00	8.116126193766112773e-02
3.973280563200853877e+00	1.214970991700795866e-01
3.999946875705557403e+00	1.857927915958401399e-01
4.026613188210260930e+00	6.490740302230626479e-01
4.053279500714965344e+00	1.333218159771996925e-01
4.079945813219668871e+00	3.489813574247092598e-01
4.106612125724372397e+00	4.260209359309879984e-01
4.133278438229075924e+00	1.775853431732287435e-01
4.159944750733780339e+00	1.363268619729442743e-01
4.186611063238483865e+00	3.415792120024463974e-01
4.213277375743187392e+00	2.882860060817434289e-01
4.239943688247890918e+00	2.379056640899189501e-01
4.266610000752594445e+00	3.224626803133689990e-01
4.293276313257298860e+00	6.087649250673871082e-02
4.319942625762002386e+00	2.069177181615465821e-01
4.346608938266705913e+00	2.097896147753697260e-01
4.373275250771409439e+00	2.022850168811920202e-01
4.399941563276112966e+00	8.294368939925660100e-02
4.426607875780817380e+00	1.498886634273109419e-01
4.453274188285520907e+00	2.354223046004544351e-01
4.479940500790224434e+00	3.312580855250137901e-01
4.506606813294927960e+00	1.772167904546085859e-01
4.533273125799632375e+00	1.594877762522830811e-01
4.559939438304335901e+00	9.941646569944034839e-02
4.586605750809039428e+00	2.344809050004176831e-01
4.613272063313742954e+00	2.643282183658899887e-01
4.639938375818446481e+00	5.659416379406739805e-02
4.666604688323150896e+00	3.491170168835115439e-01
4.693271000827854422e+00	1.082130547392076009e-01
4.719937313332557949e+00	9.149762915407634589e-02
4.746603625837261475e+00	2.405822376532730789e-01
4.773269938341965002e+00	8.613073872214488391e-02
4.799936250846669417e+00	6.642712623632457403e-02
4.826602563351372943e+00	1.809291662585554294e-01
4.853268875856076470e+00	8.391600493280129691e-02
4.879935188360779996e+00	2.288984523711344310e-01
4.906601500865484411e+00	9.553458917378834792e-02
4.933267813370187937e+00	3.825809271646967158e-01
4.959934125874891464e+00	9.319110714935083251e-02
4.986600438379594991e+00	5.947535498442317603e-02
5.013266750884298517e+00	3.535633651328565219e-01
5.039933063389002932e+00	8.506480464004896602e-02
5.066599375893706458e+00	7.708371773824049256e-02
5.093265688398409985e+00	7.508340686925432661e-02
5.119932000903113511e+00	5.731150406286678045e-01
5.146598313407817038e+00	7.923068936130812923e-02
5.173264625912521453e+00	8.904892167334967079e-02
5.199930938417224979e+00	8.571442791661779137e-02
5.226597250921928506e+00	5.856423182893005785e-02
5.253263563426632032e+00	2.374001870715482798e-01
5.279929875931336447e+00	6.887085966603515019e-02
5.306596188436039974e+00	1.191206172501385607e-01
5.333262500940743500e+00	1.474285765753167166e-01
5.359928813445447027e+00	6.501627308923037252e-02
5.386595125950150553e+00	3.019658207374531500e-01
5.413261438454854968e+00	3.435551259396573132e-01
5.439927750959558495e+00	6.601968503706412417e-02
5.466594063464262021e+00	1.575197798029906449e-01
5.493260375968965548e+00	1.014444147278189406e-01
5.519926688473669074e+00	8.284181585333173781e-02
5.546593000978373489e+00	2.086793992593174440e-01
5.573259313483077015e+00	2.997312078336186181e-01
5.599925625987780542e+00	1.862750301982701862e-01
5.626591938492484068e+00	2.216735523808151531e-01
5.653258250997188483e+00	2.220133447014492056e-01
5.679924563501892010e+00	1.884377510473320971e-01
5.706590876006595536e+00	1.638394655852184190e-01
5.733257188511299063e+00	8.892123262761622571e-02
5.759923501016002589e+00	6.440622260194163451e-02
5.786589813520707004e+00	9.413542371732988578e-02
