# X 	Z
3.219042968750000094e-02	-6.907197884916757569e-02
3.246093750000000194e-02	-5.886340891541158582e-02
3.273144531250000294e-02	-9.097781199130933194e-02
3.300195312499999700e-02	-6.865824030589234850e-02
3.327246093749999800e-02	-5.542511230679603162e-02
3.354296874999999900e-02	-7.403066960765802840e-02
3.381347656250000000e-02	-6.468136881328195864e-02
3.408398437500000100e-02	-8.996621670432985995e-02
3.435449218750000200e-02	-7.261959765516087795e-02
3.462500000000000300e-02	-5.504060010682237936e-02
3.489550781249999706e-02	-7.644441854876699027e-02
3.516601562499999806e-02	-1.072448378547615766e-01
3.543652343749999906e-02	-9.129842333022347711e-02
3.570703125000000006e-02	-9.554332596006964717e-02
3.597753906250000105e-02	-7.587244881048732514e-02
3.624804687500000205e-02	-1.176272651652739976e-01
3.651855468750000305e-02	-1.401535931540590085e-02
3.678906249999999711e-02	2.234908518776862474e-03
3.705957031249999811e-02	-2.632195342285362227e-02
3.733007812499999911e-02	-9.374339482216581532e-03
3.760058593750000011e-02	-1.657765570375063779e-02
3.787109375000000111e-02	6.736436513973903528e-03
3.814160156250000211e-02	-6.913314696683547922e-03
3.841210937500000311e-02	-2.110744509421602633e-02
3.868261718749999717e-02	-1.208420251678601898e-02
3.895312499999999817e-02	-6.789812125045424640e-03
3.922363281249999917e-02	1.609064586427316756e-03
3.949414062500000017e-02	-7.854213305516666299e-03
3.976464843750000117e-02	-4.923498049877017557e-02
4.003515625000000216e-02	1.790605378094112243e-03
4.030566406250000316e-02	6.144669935802704597e-03
4.057617187499999722e-02	1.955623099513720264e-03
4.084667968749999822e-02	-1.652233698970739795e-02
4.111718749999999922e-02	-4.486262203671559368e-02
4.138769531250000022e-02	3.829201432183237941e-03
4.165820312500000122e-02	-5.176405828834301781e-03
4.192871093750000222e-02	-4.243041084324383760e-03
4.219921875000000322e-02	-2.777146024288942860e-02
4.246972656249999728e-02	-1.689995545402972477e-02
4.274023437499999828e-02	-5.000108945271697358e-05
4.301074218749999928e-02	-7.196279148606959941e-03
4.328125000000000028e-02	-1.372250579803754866e-02
4.355175781250000128e-02	-5.185109179024760540e-03
4.382226562500000228e-02	-1.528614150962123719e-02
4.409277343750000328e-02	1.593557789090205290e-04
4.436328124999999734e-02	-2.322337530585569243e-02
4.463378906249999833e-02	-1.702085103824071965e-02
4.490429687499999933e-02	4.634210711102426661e-03
4.517480468750000033e-02	-2.558406675384616857e-02
4.544531250000000133e-02	-2.544021747905028663e-02
4.571582031250000233e-02	-2.630634988126320795e-02
4.598632812500000333e-02	-1.389417181461707895e-02
4.625683593749999739e-02	-1.522714005160097361e-02
4.652734374999999839e-02	-3.061598519279667974e-02
4.679785156249999939e-02	-3.560031164290239358e-02
4.706835937500000039e-02	1.183013041104541418e-02
4.733886718750000139e-02	-1.963735216472342615e-02
4.760937500000000239e-02	-1.041576868082233487e-02
4.787988281250000339e-02	-3.870235604705860033e-02
4.815039062499999745e-02	-3.554030136269309414e-02
4.842089843749999845e-02	1.400403119542426023e-03
4.869140624999999944e-02	-1.694861718067461331e-02
4.896191406250000044e-02	-1.945619614513019457e-02
4.923242187500000144e-02	-3.415544046147805934e-02
4.950292968750000244e-02	-1.585207576223285342e-02
4.977343750000000344e-02	-1.362356465147579465e-02
5.004394531249999750e-02	-2.281067661849336958e-02
5.031445312499999850e-02	-2.881450518762382340e-02
5.058496093749999950e-02	-2.185094211579810541e-02
5.085546875000000050e-02	-3.096292152421248334e-02
5.112597656250000150e-02	-6.957136117535789310e-06
5.139648437500000250e-02	-2.876828786318247344e-02
5.166699218749999656e-02	-1.357904359278117035e-02
5.193749999999999756e-02	-8.719100088511455571e-03
5.220800781249999856e-02	-4.121158719511339164e-02
5.247851562499999956e-02	-9.096590658286607400e-03
5.274902343750000056e-02	-4.811277093507687619e-02
5.301953125000000155e-02	1.130624203740164951e-01
5.329003906250000255e-02	3.227709891382714025e-01
5.356054687499999661e-02	2.498192658460464954e-01
5.383105468749999761e-02	2.800688890697040634e-01
5.410156249999999861e-02	2.911368698651197739e-01
5.437207031249999961e-02	2.902445190524569618e-01
5.464257812500000061e-02	2.922235049461908707e-01
5.491308593750000161e-02	2.546748485581629140e-01
5.518359375000000261e-02	2.822758829820313231e-01
5.545410156249999667e-02	2.988482895497998060e-01
5.572460937499999767e-02	2.786892493141189253e-01
5.599511718749999867e-02	2.746040493405617622e-01
5.626562499999999967e-02	2.579385354509351469e-01
5.653613281250000067e-02	3.009881885408428048e-01
5.680664062500000167e-02	2.781866934813428949e-01
5.707714843750000266e-02	3.096646001061944542e-01
5.734765624999999672e-02	6.642591837154414591e-01
5.761816406249999772e-02	6.934828497005962600e-01
5.788867187499999872e-02	6.970792272907847531e-01
5.815917968749999972e-02	7.078955726463429521e-01
5.842968750000000072e-02	6.795722796014097566e-01
5.870019531250000172e-02	7.326281514784773741e-01
5.897070312500000272e-02	6.894689809389498159e-01
5.924121093749999678e-02	7.037716101081739062e-01
5.951171874999999778e-02	6.898062599611918255e-01
5.978222656249999878e-02	7.016203365637850853e-01
6.005273437499999978e-02	7.006978613842030912e-01
6.032324218750000078e-02	6.918535685276201441e-01
6.059375000000000178e-02	6.837071092036636211e-01
