# Frequency (Hz)	Amplitude
2.979670699192611849e+00	3.001202611473944779e-02
3.020488106030867037e+00	4.015210062969248872e-02
3.061305512869121781e+00	4.101631859459871354e-02
3.102122919707376969e+00	3.949294645611518134e-02
3.142940326545631713e+00	4.247190679654071210e-02
3.183757733383886901e+00	4.659843716022091936e-02
3.224575140222141645e+00	5.684502391930740944e-02
3.265392547060396833e+00	5.783234847875790702e-02
3.306209953898651577e+00	2.119954196170771923e-02
3.347027360736906765e+00	5.537325170649253642e-02
3.387844767575161509e+00	4.016647683104997840e-02
3.428662174413416697e+00	3.880260566769573594e-02
3.469479581251671441e+00	3.759727968363815037e-02
3.510296988089926629e+00	4.867929890235409701e-02
3.551114394928181373e+00	4.260031333452930086e-02
3.591931801766436561e+00	4.265755323067752652e-02
3.632749208604691304e+00	5.279789626333303287e-02
3.673566615442946492e+00	4.043101427227242112e-02
3.714384022281201236e+00	3.731521654135038640e-02
3.755201429119456424e+00	4.969041930235796461e-02
3.796018835957711168e+00	5.220366983576395226e-02
3.836836242795966356e+00	5.047160125781185308e-02
3.877653649634221100e+00	4.177319992158206458e-02
3.918471056472475844e+00	4.544889996823935768e-02
3.959288463310731032e+00	3.989947945315800576e-02
4.000105870148986220e+00	2.952638213948475740e-02
4.040923276987240520e+00	3.576590200021487198e-02
4.081740683825495708e+00	4.374581372169836224e-02
4.122558090663750896e+00	3.966001574623453235e-02
4.163375497502006084e+00	2.944027115179762011e-02
4.204192904340260384e+00	3.561399506379325092e-02
4.245010311178515572e+00	4.539845380441759337e-02
4.285827718016770760e+00	2.728606554819903648e-02
4.326645124855025948e+00	3.324110878611752362e-02
4.367462531693280248e+00	4.428331418970635203e-02
4.408279938531535436e+00	4.859432240059710639e-02
4.449097345369790624e+00	3.902224178261774062e-02
4.489914752208045812e+00	2.929924640491314916e-02
4.530732159046300112e+00	3.262353688892099396e-02
4.571549565884555300e+00	3.177563003957595972e-02
4.612366972722810488e+00	2.348280886278655485e-02
4.653184379561065676e+00	2.993669869561981986e-02
4.694001786399319975e+00	2.931753589525730452e-02
4.734819193237575163e+00	5.808985881505774468e-02
4.775636600075830351e+00	1.521560457267714939e-02
4.816454006914085539e+00	2.934162430417180945e-02
4.857271413752339839e+00	1.700448572794487079e-02
4.898088820590595027e+00	3.131464672465108373e-02
4.938906227428850215e+00	3.724295002589449871e-02
4.979723634267105403e+00	3.072017255201035801e-02
5.020541041105359703e+00	4.215001787839838671e-02
5.061358447943614891e+00	3.116679482389408257e-02
5.102175854781870079e+00	2.815544558375069825e-02
5.142993261620125267e+00	2.903478437896117245e-02
5.183810668458379567e+00	3.186343933190408789e-02
5.224628075296634755e+00	3.466261043753481735e-02
5.265445482134889943e+00	2.782008774496257802e-02
5.306262888973144243e+00	2.907927149130163508e-02
5.347080295811399431e+00	2.643930709560473810e-02
5.387897702649654619e+00	3.164133716858267414e-02
5.428715109487909807e+00	2.994761285898480188e-02
5.469532516326164107e+00	2.507103217377620180e-02
5.510349923164419295e+00	2.549997615731446760e-02
5.551167330002674483e+00	2.774922738880902795e-02
5.591984736840929671e+00	2.511809209732451809e-02
5.632802143679183970e+00	2.720098788282885455e-02
5.673619550517439158e+00	2.739198020521070934e-02
